index,seed,family,n,m,delta,Delta,high_degree,gamma,furones_size,furones_valid,ratio,tau,rho_n,within_rho,optimal
246,12591,cocktail_party,14,84,12,12,True,2,2,True,1.0,1.8571,4.0,True,True
247,12592,circulant,15,90,12,12,True,2,2,True,1.0,1.7333,4.0,True,True
248,12593,random_regular,9,18,4,4,True,2,2,True,1.0,1.1111,4.0,True,True
249,12594,erdos_renyi,15,64,5,11,True,2,2,True,1.0,1.6,4.0,True,True
250,12595,hypercube,16,34,4,5,True,4,4,True,1.0,1.5,4.0,True,True
251,12596,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
252,12597,complete,11,55,10,10,True,1,1,True,1.0,1.0,4.0,True,True
253,12598,cocktail_party,12,60,10,10,True,2,2,True,1.0,1.8333,4.0,True,True
254,12599,circulant,9,18,4,4,True,2,2,True,1.0,1.1111,4.0,True,True
255,12600,random_regular,13,39,6,6,True,2,2,True,1.0,1.0769,4.0,True,True
256,12601,erdos_renyi,8,20,3,7,True,1,1,True,1.0,1.0,4.0,True,True
257,12602,hypercube,8,13,3,4,True,2,2,True,1.0,1.25,4.0,True,True
258,12603,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
259,12604,complete,13,78,12,12,True,1,1,True,1.0,1.0,4.0,True,True
260,12605,cocktail_party,10,40,8,8,True,2,2,True,1.0,1.8,4.0,True,True
261,12606,circulant,12,60,10,10,True,2,2,True,1.0,1.8333,4.0,True,True
262,12607,random_regular,8,16,4,4,True,2,2,True,1.0,1.25,4.0,True,True
263,12608,erdos_renyi,16,65,4,12,True,2,2,True,1.0,1.625,4.0,True,True
264,12609,hypercube,16,34,4,5,True,4,4,True,1.0,1.5,4.0,True,True
265,12610,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
266,12611,complete,9,36,8,8,True,1,1,True,1.0,1.0,4.0,True,True
267,12612,cocktail_party,8,24,6,6,True,2,2,True,1.0,1.75,4.0,True,True
268,12613,circulant,16,32,4,4,True,4,4,True,1.0,1.25,4.0,True,True
269,12614,random_regular,14,28,4,4,True,3,3,True,1.0,1.0714,4.0,True,True
270,12615,erdos_renyi,16,62,5,11,True,2,2,True,1.0,1.5,4.0,True,True
271,12616,hypercube,16,34,4,6,True,4,4,True,1.0,1.75,4.0,True,True
272,12617,paley,13,39,6,6,True,3,3,True,1.0,1.6154,4.0,True,True
273,12618,complete,8,28,7,7,True,1,1,True,1.0,1.0,4.0,True,True
274,12619,cocktail_party,16,112,14,14,True,2,2,True,1.0,1.875,4.0,True,True
275,12620,circulant,8,24,6,6,True,2,2,True,1.0,1.75,4.0,True,True
276,12621,random_regular,8,16,4,4,True,2,2,True,1.0,1.25,4.0,True,True
277,12622,erdos_renyi,9,28,4,8,True,1,1,True,1.0,1.0,4.0,True,True
278,12623,hypercube,16,32,4,4,True,4,4,True,1.0,1.25,4.0,True,True
279,12624,paley,5,6,2,3,True,2,2,True,1.0,1.6,4.0,True,True
280,12625,complete,15,105,14,14,True,1,1,True,1.0,1.0,4.0,True,True
281,12626,cocktail_party,14,84,12,12,True,2,2,True,1.0,1.8571,4.0,True,True
282,12627,circulant,8,24,6,6,True,2,2,True,1.0,1.75,4.0,True,True
283,12628,random_regular,14,42,6,6,True,3,3,True,1.0,1.5,4.0,True,True
284,12629,erdos_renyi,9,23,3,7,True,2,2,True,1.0,1.7778,4.0,True,True
285,12630,hypercube,8,14,3,4,True,2,2,True,1.0,1.25,4.0,True,True
286,12631,paley,13,41,6,7,True,3,3,True,1.0,1.8462,4.0,True,True
287,12632,complete,8,28,7,7,True,1,1,True,1.0,1.0,4.0,True,True
288,12633,cocktail_party,16,112,14,14,True,2,2,True,1.0,1.875,4.0,True,True
289,12634,circulant,11,55,10,10,True,1,1,True,1.0,1.0,4.0,True,True
290,12635,random_regular,12,24,4,4,True,3,3,True,1.0,1.25,4.0,True,True
291,12636,erdos_renyi,8,21,4,7,True,1,1,True,1.0,1.0,4.0,True,True
292,12637,hypercube,8,13,3,4,True,2,2,True,1.0,1.25,4.0,True,True
293,12638,paley,5,6,2,3,True,2,2,True,1.0,1.6,4.0,True,True
