index,seed,family,n,m,delta,Delta,gamma,furones_size,furones_valid,ratio,tau,rho_n,within_rho,optimal
4779,5779,random_regular,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
4780,5780,random_dense,14,59,5,11,2,2,True,1.0,1.7143,4.0,True,True
4781,5781,greedy_trap,6,7,2,3,2,2,True,1.0,1.3333,4.0,True,True
4782,5782,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
4783,5783,perfect_code_perturbed,8,12,3,3,2,2,True,1.0,1.0,4.0,True,True
4784,5784,circulant_efficient,10,30,6,6,2,2,True,1.0,1.4,4.0,True,True
4785,5785,cocktail_multipartite,6,12,4,4,2,2,True,1.0,1.6667,4.0,True,True
4786,5786,random_regular,12,18,3,3,3,3,True,1.0,1.0,4.0,True,True
4787,5787,random_dense,14,41,3,8,2,2,True,1.0,1.2857,4.0,True,True
4788,5788,greedy_trap,15,19,1,4,4,4,True,1.0,1.3333,4.0,True,True
4789,5789,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
4790,5790,perfect_code_perturbed,16,33,4,5,4,4,True,1.0,1.5,4.0,True,True
4791,5791,circulant_efficient,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
4792,5792,cocktail_multipartite,10,33,6,7,2,2,True,1.0,1.6,4.0,True,True
4793,5793,random_regular,16,40,5,5,3,3,True,1.0,1.125,4.0,True,True
4794,5794,random_dense,14,67,7,12,2,2,True,1.0,1.8571,4.0,True,True
4795,5795,greedy_trap,6,7,2,3,2,2,True,1.0,1.3333,4.0,True,True
4796,5796,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
4797,5797,perfect_code_perturbed,11,24,4,6,2,2,True,1.0,1.2727,4.0,True,True
4798,5798,circulant_efficient,10,30,6,6,2,2,True,1.0,1.4,4.0,True,True
4799,5799,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
4800,5800,random_regular,10,25,5,5,2,2,True,1.0,1.2,4.0,True,True
4801,5801,random_dense,12,31,3,8,2,2,True,1.0,1.5,4.0,True,True
4802,5802,greedy_trap,9,9,1,3,3,3,True,1.0,1.3333,4.0,True,True
4803,5803,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
4804,5804,perfect_code_perturbed,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
4805,5805,circulant_efficient,14,28,4,4,3,3,True,1.0,1.0714,4.0,True,True
4806,5806,cocktail_multipartite,14,84,12,12,2,2,True,1.0,1.8571,4.0,True,True
4807,5807,random_regular,8,20,5,5,2,2,True,1.0,1.5,4.0,True,True
4808,5808,random_dense,10,31,4,8,2,2,True,1.0,1.8,4.0,True,True
4809,5809,greedy_trap,16,24,1,6,4,4,True,1.0,1.75,4.0,True,True
4810,5810,geometric_setcover,15,18,1,5,4,4,True,1.0,1.6,4.0,True,True
4811,5811,perfect_code_perturbed,8,12,3,3,2,2,True,1.0,1.0,4.0,True,True
4812,5812,circulant_efficient,10,30,6,6,2,2,True,1.0,1.4,4.0,True,True
4813,5813,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
4814,5814,random_regular,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
4815,5815,random_dense,14,35,3,9,3,3,True,1.0,2.1429,4.0,True,True
4816,5816,greedy_trap,10,11,1,4,3,3,True,1.0,1.5,4.0,True,True
4817,5817,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
4818,5818,perfect_code_perturbed,8,13,3,4,2,2,True,1.0,1.25,4.0,True,True
4819,5819,circulant_efficient,10,30,6,6,2,2,True,1.0,1.4,4.0,True,True
4820,5820,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
4821,5821,random_regular,8,16,4,4,2,2,True,1.0,1.25,4.0,True,True
4822,5822,random_dense,12,32,3,10,2,2,True,1.0,1.8333,4.0,True,True
4823,5823,greedy_trap,13,18,1,4,3,3,True,1.0,1.1538,4.0,True,True
4824,5824,geometric_setcover,10,10,1,3,4,4,True,1.0,1.6,4.0,True,True
4825,5825,perfect_code_perturbed,8,12,3,3,2,2,True,1.0,1.0,4.0,True,True
4826,5826,circulant_efficient,14,56,8,8,2,2,True,1.0,1.2857,4.0,True,True
4827,5827,cocktail_multipartite,8,24,6,6,2,2,True,1.0,1.75,4.0,True,True
4828,5828,random_regular,14,28,4,4,3,3,True,1.0,1.0714,4.0,True,True
4829,5829,random_dense,14,61,6,12,2,2,True,1.0,1.8571,4.0,True,True
4830,5830,greedy_trap,16,21,1,4,4,4,True,1.0,1.25,4.0,True,True
4831,5831,geometric_setcover,10,10,1,3,4,4,True,1.0,1.6,4.0,True,True
4832,5832,perfect_code_perturbed,15,32,4,5,3,3,True,1.0,1.2,4.0,True,True
4833,5833,circulant_efficient,12,36,6,6,2,2,True,1.0,1.1667,4.0,True,True
4834,5834,cocktail_multipartite,6,8,2,4,2,2,True,1.0,1.6667,4.0,True,True
4835,5835,random_regular,14,35,5,5,3,3,True,1.0,1.2857,4.0,True,True
4836,5836,random_dense,8,15,2,5,2,2,True,1.0,1.5,4.0,True,True
4837,5837,greedy_trap,14,21,1,5,4,4,True,1.0,1.7143,4.0,True,True
4838,5838,geometric_setcover,15,18,1,5,4,4,True,1.0,1.6,4.0,True,True
4839,5839,perfect_code_perturbed,8,12,3,3,2,2,True,1.0,1.0,4.0,True,True
4840,5840,circulant_efficient,14,28,4,4,3,3,True,1.0,1.0714,4.0,True,True
4841,5841,cocktail_multipartite,6,12,4,4,2,2,True,1.0,1.6667,4.0,True,True
4842,5842,random_regular,10,25,5,5,2,2,True,1.0,1.2,4.0,True,True
4843,5843,random_dense,10,33,5,8,2,2,True,1.0,1.8,4.0,True,True
4844,5844,greedy_trap,15,22,1,4,4,4,True,1.0,1.3333,4.0,True,True
4845,5845,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
4846,5846,perfect_code_perturbed,16,32,4,4,4,4,True,1.0,1.25,4.0,True,True
4847,5847,circulant_efficient,16,48,6,6,3,3,True,1.0,1.3125,4.0,True,True
4848,5848,cocktail_multipartite,10,32,6,8,2,2,True,1.0,1.8,4.0,True,True
4849,5849,random_regular,12,18,3,3,3,3,True,1.0,1.0,4.0,True,True
4850,5850,random_dense,16,85,8,14,2,2,True,1.0,1.875,4.0,True,True
4851,5851,greedy_trap,14,14,1,3,4,4,True,1.0,1.1429,4.0,True,True
4852,5852,geometric_setcover,13,15,1,4,3,3,True,1.0,1.1538,4.0,True,True
4853,5853,perfect_code_perturbed,16,33,4,5,4,4,True,1.0,1.5,4.0,True,True
4854,5854,circulant_efficient,14,42,6,6,2,2,True,1.0,1.0,4.0,True,True
4855,5855,cocktail_multipartite,7,16,4,5,2,2,True,1.0,1.7143,4.0,True,True
4856,5856,random_regular,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
4857,5857,random_dense,10,24,3,6,2,2,True,1.0,1.4,4.0,True,True
4858,5858,greedy_trap,12,18,1,5,3,3,True,1.0,1.5,4.0,True,True
4859,5859,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
4860,5860,perfect_code_perturbed,9,19,4,5,2,2,True,1.0,1.3333,4.0,True,True
4861,5861,circulant_efficient,12,36,6,6,2,2,True,1.0,1.1667,4.0,True,True
4862,5862,cocktail_multipartite,9,30,6,7,2,2,True,1.0,1.7778,4.0,True,True
4863,5863,random_regular,8,16,4,4,2,2,True,1.0,1.25,4.0,True,True
4864,5864,random_dense,8,10,1,4,3,3,True,1.0,1.875,4.0,True,True
4865,5865,greedy_trap,16,20,1,4,4,4,True,1.0,1.25,4.0,True,True
4866,5866,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
4867,5867,perfect_code_perturbed,13,28,4,5,3,3,True,1.0,1.3846,4.0,True,True
4868,5868,circulant_efficient,14,28,4,4,3,3,True,1.0,1.0714,4.0,True,True
4869,5869,cocktail_multipartite,6,12,4,4,2,2,True,1.0,1.6667,4.0,True,True
4870,5870,random_regular,10,25,5,5,2,2,True,1.0,1.2,4.0,True,True
4871,5871,random_dense,8,13,2,4,2,2,True,1.0,1.25,4.0,True,True
4872,5872,greedy_trap,16,21,1,4,4,4,True,1.0,1.25,4.0,True,True
4873,5873,geometric_setcover,16,21,1,6,3,3,True,1.0,1.3125,4.0,True,True
4874,5874,perfect_code_perturbed,15,31,4,5,3,3,True,1.0,1.2,4.0,True,True
4875,5875,circulant_efficient,12,36,6,6,2,2,True,1.0,1.1667,4.0,True,True
4876,5876,cocktail_multipartite,6,12,4,4,2,2,True,1.0,1.6667,4.0,True,True
4877,5877,random_regular,10,15,3,3,3,3,True,1.0,1.2,4.0,True,True
4878,5878,random_dense,16,61,5,12,2,2,True,1.0,1.625,4.0,True,True
4879,5879,greedy_trap,13,16,1,4,3,3,True,1.0,1.1538,4.0,True,True
4880,5880,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
